K00001,alcohol dehydrogenase [EC:1.1.1.1]
K00511,squalene monooxygenase [EC:1.14.14.17]
K00512,steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
K00513,steroid 21-monooxygenase [EC:1.14.14.16]
K00514,zeta-carotene desaturase [EC:1.3.5.6]
K00515,"beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]"
K00522,ferritin heavy chain [EC:1.16.3.1]
K00523,"CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"
K00524,"ribonucleotide reductase, class II [EC:1.17.4.2]"
K00525,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00527,ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
K00530,rubredoxin---NAD(P)+ reductase [EC:1.18.1.4]
K00531,nitrogenase delta subunit [EC:1.18.6.1]
K00532,ferredoxin hydrogenase [EC:1.12.7.2]
K00533,ferredoxin hydrogenase large subunit [EC:1.12.7.2]
K00534,ferredoxin hydrogenase small subunit [EC:1.12.7.2]
K00541,nicotinamide N-methyltransferase [EC:2.1.1.1]
K00542,guanidinoacetate N-methyltransferase [EC:2.1.1.2]
K00543,acetylserotonin O-methyltransferase [EC:2.1.1.4]
K00544,betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
K00545,catechol O-methyltransferase [EC:2.1.1.6]
K00546,histamine N-methyltransferase [EC:2.1.1.8]
K00547,homocysteine S-methyltransferase [EC:2.1.1.10]
K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K00549,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00550,phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]
K00551,phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00552,glycine N-methyltransferase [EC:2.1.1.20]
K00553,phenylethanolamine N-methyltransferase [EC:2.1.1.28]
K00554,tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00559,sterol 24-C-methyltransferase [EC:2.1.1.41]
K00560,thymidylate synthase [EC:2.1.1.45]
K00561,23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]
K00562,methyltransferase [EC:2.1.1.49 2.1.1.96]
K00563,23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
K00565,mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
K00566,tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
K00568,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K00569,thiopurine S-methyltransferase [EC:2.1.1.67]
K00570,phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
K00577,tetrahydromethanopterin S-methyltransferase subunit A [EC:7.2.1.4]
K00578,tetrahydromethanopterin S-methyltransferase subunit B [EC:7.2.1.4]
K00579,tetrahydromethanopterin S-methyltransferase subunit C [EC:7.2.1.4]
K00580,tetrahydromethanopterin S-methyltransferase subunit D [EC:7.2.1.4]
K00581,tetrahydromethanopterin S-methyltransferase subunit E [EC:7.2.1.4]
K00582,tetrahydromethanopterin S-methyltransferase subunit F [EC:7.2.1.4]
K00583,tetrahydromethanopterin S-methyltransferase subunit G [EC:7.2.1.4]
K00584,tetrahydromethanopterin S-methyltransferase subunit H [EC:7.2.1.4]
K00586,diphthine methyl ester synthase [EC:2.1.1.314]
K00587,protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
K00588,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K00589,uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K00591,polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]
K00592,[ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]
K00594,alditol oxidase [EC:1.1.3.41]
K00595,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]"
K00599,tRNA N(3)-methylcytidine methyltransferase METTL6 [EC:2.1.1.-]
K00600,glycine hydroxymethyltransferase [EC:2.1.2.1]
K00601,phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]
K00602,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K00603,glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]
K00604,methionyl-tRNA formyltransferase [EC:2.1.2.9]
K00605,glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]
K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K00607,GDP-perosamine N-formyltransferase [EC:2.1.2.14]
K00608,aspartate carbamoyltransferase [EC:2.1.3.2]
K00609,aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K00610,aspartate carbamoyltransferase regulatory subunit
K00611,ornithine carbamoyltransferase [EC:2.1.3.3]
K00613,glycine amidinotransferase [EC:2.1.4.1]
K00615,transketolase [EC:2.2.1.1]
K00616,transaldolase [EC:2.2.1.2]
K00618,amino-acid N-acetyltransferase [EC:2.3.1.1]
K00619,amino-acid N-acetyltransferase [EC:2.3.1.1]
K00620,glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
K00621,glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
K00622,arylamine N-acetyltransferase [EC:2.3.1.5]
K00623,choline O-acetyltransferase [EC:2.3.1.6]
K00624,carnitine O-acetyltransferase [EC:2.3.1.7]
K00625,phosphate acetyltransferase [EC:2.3.1.8]
K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00627,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
K00628,glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]
K00629,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
K00630,glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00631,glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632,acetyl-CoA acyltransferase [EC:2.3.1.16]
K00634,phosphate butyryltransferase [EC:2.3.1.19]
K00635,diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]
K00637,sterol O-acyltransferase [EC:2.3.1.26]
K00639,glycine C-acetyltransferase [EC:2.3.1.29]
K00640,serine O-acetyltransferase [EC:2.3.1.30]
K00641,homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K00643,5-aminolevulinate synthase [EC:2.3.1.37]
K00645,[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00649,glyceronephosphate O-acyltransferase [EC:2.3.1.42]
K00650,lecithin-cholesterol acyltransferase [EC:2.3.1.43]
K00651,homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00652,8-amino-7-oxononanoate synthase [EC:2.3.1.47]
K00654,serine palmitoyltransferase [EC:2.3.1.50]
K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00656,formate C-acetyltransferase [EC:2.3.1.54]
K00657,diamine N-acetyltransferase [EC:2.3.1.57]
K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00659,bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]
K00660,chalcone synthase [EC:2.3.1.74]
K00664,alcohol O-acetyltransferase [EC:2.3.1.84]
K00665,"fatty acid synthase, animal type [EC:2.3.1.85]"
K00667,"fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"
K00668,"fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]"
K00669,arylalkylamine N-acetyltransferase [EC:2.3.1.87]
K00672,formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
K00673,arginine N-succinyltransferase [EC:2.3.1.109]
K00674,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
K00677,UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K00678,phosphatidylcholine-retinol O-acyltransferase [EC:2.3.1.135]
K00679,phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
K00681,gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K00682,gamma-glutamylcyclotransferase [EC:4.3.2.9]
K00684,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
K00685,arginyl-tRNA---protein transferase [EC:2.3.2.8]
K00688,glycogen phosphorylase [EC:2.4.1.1]
K00689,dextransucrase [EC:2.4.1.5]
K00690,sucrose phosphorylase [EC:2.4.1.7]
K00691,maltose phosphorylase [EC:2.4.1.8]
K00692,levansucrase [EC:2.4.1.10]
K00693,glycogen synthase [EC:2.4.1.11]
K00694,cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00695,sucrose synthase [EC:2.4.1.13]
K00696,sucrose-phosphate synthase [EC:2.4.1.14]
K00697,trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K00698,chitin synthase [EC:2.4.1.16]
K00699,glucuronosyltransferase [EC:2.4.1.17]
K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K00701,cyclomaltodextrin glucanotransferase [EC:2.4.1.19]
K00702,cellobiose phosphorylase [EC:2.4.1.20]
K00703,starch synthase [EC:2.4.1.21]
K00704,alpha-lactalbumin [EC:2.4.1.22]
K00705,4-alpha-glucanotransferase [EC:2.4.1.25]
K00706,"1,3-beta-glucan synthase [EC:2.4.1.34]"
K00712,poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
K00720,ceramide glucosyltransferase [EC:2.4.1.80]
K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K00725,(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]
K00728,dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
K00729,dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
K00741,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.149]"
K00747,chondroitin polymerizing factor [EC:2.4.1.175 2.4.1.226]
K00748,lipid-A-disaccharide synthase [EC:2.4.1.182]
K00750,glycogenin [EC:2.4.1.186]
K00756,pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K00757,uridine phosphorylase [EC:2.4.2.3]
K00758,thymidine phosphorylase [EC:2.4.2.4]
K00759,adenine phosphoribosyltransferase [EC:2.4.2.7]
K00760,hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K00761,uracil phosphoribosyltransferase [EC:2.4.2.9]
K00762,orotate phosphoribosyltransferase [EC:2.4.2.10]
K00763,nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K00764,amidophosphoribosyltransferase [EC:2.4.2.14]
K00765,ATP phosphoribosyltransferase [EC:2.4.2.17]
K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K00767,nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
K00769,xanthine phosphoribosyltransferase [EC:2.4.2.22]
K00770,"1,4-beta-D-xylan synthase [EC:2.4.2.24]"
K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K00773,queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K00777,queuine tRNA-ribosyltransferase catalytic subunit [EC:2.4.2.64]
K00787,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
K00789,S-adenosylmethionine synthetase [EC:2.5.1.6]
K00790,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00791,tRNA dimethylallyltransferase [EC:2.5.1.75]
K00793,riboflavin synthase [EC:2.5.1.9]
K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
K00795,farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K00796,dihydropteroate synthase [EC:2.5.1.15]
K00797,spermidine synthase [EC:2.5.1.16]
K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K00799,glutathione S-transferase [EC:2.5.1.18]
K00800,3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K00801,farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
K00802,spermine synthase [EC:2.5.1.22]
K00803,alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
K00804,"geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K00805,heptaprenyl diphosphate synthase component 1 [EC:2.5.1.30]
K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31]
K00807,leukotriene-C4 synthase [EC:4.4.1.20]
K00808,homospermidine synthase [EC:2.5.1.44]
K00811,"aspartate aminotransferase, chloroplastic [EC:2.6.1.1]"
K00812,aspartate aminotransferase [EC:2.6.1.1]
K00813,aspartate aminotransferase [EC:2.6.1.1]
K00814,alanine transaminase [EC:2.6.1.2]
K00815,tyrosine aminotransferase [EC:2.6.1.5]
K00816,kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]
K00817,histidinol-phosphate aminotransferase [EC:2.6.1.9]
K00818,acetylornithine aminotransferase [EC:2.6.1.11]
K00819,ornithine--oxo-acid transaminase [EC:2.6.1.13]
K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K00821,acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K00822,beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K00823,4-aminobutyrate aminotransferase [EC:2.6.1.19]
K00824,D-alanine transaminase [EC:2.6.1.21]
K00825,kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00827,alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
K00830,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
K00831,phosphoserine aminotransferase [EC:2.6.1.52]
K00832,aromatic-amino-acid transaminase [EC:2.6.1.57]
K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K00835,valine--pyruvate aminotransferase [EC:2.6.1.66]
K00836,diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
K00837,aromatic aminotransferase [EC:2.6.1.-]
K00838,aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
K00839,(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
K00840,succinylornithine aminotransferase [EC:2.6.1.81]
K00841,aminotransferase [EC:2.6.1.-]
K00844,hexokinase [EC:2.7.1.1]
K00845,glucokinase [EC:2.7.1.2]
K00846,ketohexokinase [EC:2.7.1.3]
K00847,fructokinase [EC:2.7.1.4]
K00848,rhamnulokinase [EC:2.7.1.5]
K00849,galactokinase [EC:2.7.1.6]
K00850,6-phosphofructokinase 1 [EC:2.7.1.11]
K00851,gluconokinase [EC:2.7.1.12]
K00852,ribokinase [EC:2.7.1.15]
K00853,L-ribulokinase [EC:2.7.1.16]
K00854,xylulokinase [EC:2.7.1.17]
K00855,phosphoribulokinase [EC:2.7.1.19]
K00856,adenosine kinase [EC:2.7.1.20]
K00857,thymidine kinase [EC:2.7.1.21]
K00858,NAD+ kinase [EC:2.7.1.23]
K00859,dephospho-CoA kinase [EC:2.7.1.24]
K00860,adenylylsulfate kinase [EC:2.7.1.25]
K00861,riboflavin kinase [EC:2.7.1.26]
K00862,erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
K00863,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
K00864,glycerol kinase [EC:2.7.1.30]
K00865,glycerate 2-kinase [EC:2.7.1.165]
K00866,choline kinase [EC:2.7.1.32]
K00867,type I pantothenate kinase [EC:2.7.1.33]
K00868,pyridoxine kinase [EC:2.7.1.35]
K00869,mevalonate kinase [EC:2.7.1.36]
K00872,homoserine kinase [EC:2.7.1.39]
K00873,pyruvate kinase [EC:2.7.1.40]
K00874,2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K00875,D-ribulokinase [EC:2.7.1.47]
K00876,uridine kinase [EC:2.7.1.48]
K00877,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
K00878,hydroxyethylthiazole kinase [EC:2.7.1.50]
K00879,L-fuculokinase [EC:2.7.1.51]
K00880,L-xylulokinase [EC:2.7.1.53]
K00881,allose kinase [EC:2.7.1.55]
K00882,1-phosphofructokinase [EC:2.7.1.56]
K00883,2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
K00884,N-acetylglucosamine kinase [EC:2.7.1.59]
K00885,N-acylmannosamine kinase [EC:2.7.1.60]
K00886,polyphosphate glucokinase [EC:2.7.1.63]
K00887,undecaprenol kinase [EC:2.7.1.66]
K00888,phosphatidylinositol 4-kinase A [EC:2.7.1.67]
K00889,1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
K00891,shikimate kinase [EC:2.7.1.71]
K00892,inosine kinase [EC:2.7.1.73]
K00893,deoxycitidine/deoxyadenosine/deoxyguanosine kinase [EC:2.7.1.74 2.7.1.76 2.7.1.113]
K00894,ethanolamine kinase [EC:2.7.1.82]
K00895,diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K00899,5-methylthioribose kinase [EC:2.7.1.100]
K00900,6-phosphofructo-2-kinase [EC:2.7.1.105]
K00901,diacylglycerol kinase (ATP) [EC:2.7.1.107]
K00902,dolichol kinase [EC:2.7.1.108]
K00904,deoxyguanosine kinase [EC:2.7.1.113]
K00911,1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]
K00912,tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K00913,"inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]"
K00914,phosphatidylinositol 3-kinase [EC:2.7.1.137]
K00915,inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]
K00917,tagatose 6-phosphate kinase [EC:2.7.1.144]
K00918,ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K00919,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K00920,1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]
K00921,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
K00922,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]"
K00923,phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]
K00925,acetate kinase [EC:2.7.2.1]
K00926,carbamate kinase [EC:2.7.2.2]
K00927,phosphoglycerate kinase [EC:2.7.2.3]
K00928,aspartate kinase [EC:2.7.2.4]
K00929,butyrate kinase [EC:2.7.2.7]
K00930,acetylglutamate kinase [EC:2.7.2.8]
K00931,glutamate 5-kinase [EC:2.7.2.11]
K00932,propionate kinase [EC:2.7.2.15]
K00933,creatine kinase [EC:2.7.3.2]
K00934,arginine kinase [EC:2.7.3.3]
K00938,phosphomevalonate kinase [EC:2.7.4.2]
K00939,adenylate kinase [EC:2.7.4.3]
K00940,nucleoside-diphosphate kinase [EC:2.7.4.6]
K00941,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K00942,guanylate kinase [EC:2.7.4.8]
K00943,dTMP kinase [EC:2.7.4.9]
K00944,nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]
K00945,CMP/dCMP kinase [EC:2.7.4.25]
K00946,thiamine-monophosphate kinase [EC:2.7.4.16]
K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K00949,thiamine pyrophosphokinase [EC:2.7.6.2]
K00950,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00951,GTP pyrophosphokinase [EC:2.7.6.5]
K00952,nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]
K00953,FAD synthetase [EC:2.7.7.2]
K00954,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K00955,bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
K00956,sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
K00957,sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K00958,sulfate adenylyltransferase [EC:2.7.7.4]
K00963,UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K00965,UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
K00966,mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00967,ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]
K00968,choline-phosphate cytidylyltransferase [EC:2.7.7.15]
K00969,nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K00971,mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K00972,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
K00973,glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K00974,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
K00976,fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]
K00978,glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K00979,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K00980,glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]
K00981,phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00983,N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]
K00987,mRNA guanylyltransferase [EC:2.7.7.50]
K00988,sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]
K00991,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00992,N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K00993,ethanolaminephosphotransferase [EC:2.7.8.1]
K00994,diacylglycerol cholinephosphotransferase [EC:2.7.8.2]
K00995,CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K00997,holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K00998,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K00999,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]
K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
K01003,oxaloacetate decarboxylase [EC:4.1.1.112]
K01004,phosphatidylcholine synthase [EC:2.7.8.24]
K01006,"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
K01007,"pyruvate, water dikinase [EC:2.7.9.2]"
K01008,"selenide, water dikinase [EC:2.7.9.3]"
K01009,L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K01012,biotin synthase [EC:2.8.1.6]
K01014,aryl sulfotransferase [EC:2.8.2.1]
K01015,alcohol sulfotransferase [EC:2.8.2.2]
K01016,estrone sulfotransferase [EC:2.8.2.4]
K01017,chondroitin 4-sulfotransferase 11 [EC:2.8.2.5]
K01019,galactosylceramide sulfotransferase [EC:2.8.2.11]
K01020,chondroitin 6-sulfotransferase 3 [EC:2.8.2.17]
K01026,propionate CoA-transferase [EC:2.8.3.1]
K01027,3-oxoacid CoA-transferase [EC:2.8.3.5]
K01028,3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
K01031,"3-oxoadipate CoA-transferase, alpha subunit [EC:2.8.3.6]"
K01032,"3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]"
K01034,acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
K01035,acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
K01039,"glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
K01040,"glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"
K01041,glutaryl-CoA transferase [EC:2.8.3.-]
K01042,L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
K01044,carboxylesterase 1 [EC:3.1.1.1]
K01046,triacylglycerol lipase [EC:3.1.1.3]
K01047,secretory phospholipase A2 [EC:3.1.1.4]
K01049,acetylcholinesterase [EC:3.1.1.7]
K01051,pectinesterase [EC:3.1.1.11]
K01052,lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]
K01053,gluconolactonase [EC:3.1.1.17]
K01054,acylglycerol lipase [EC:3.1.1.23]
K01055,3-oxoadipate enol-lactonase [EC:3.1.1.24]
